LON,LAT,VARIABLE,TYPE,NAME,Name_Database,Paper_Database,Code_Proxy,Reference_Proxy,Reference_Proxy_Database
-49.2167,77.2533,natural_proxy,ice_proxy,ISO2k_IC00SC26_bwinter,ISO2k,https://doi.org/10.5194/essd-12-2261-2020,IC00SC26,"WeiSSbach, S., Wegner, A., Opel, T., Oerter, H., Vinther, B. M. and Kipfstuhl, S.: Spatial and temporal oxygen isotope variability in northern Greenland –  implications for a new climate record over the past millennium, Climate of the Past, 12(2), 171–188, doi:10.5194/cp-12-171-2016, 2016.",https://doi.org/10.25921/57j8-vs18
-43.83,65.18,natural_proxy,ice_proxy,ISO2k_IC10VID3_bwinter,ISO2k,https://doi.org/10.5194/essd-12-2261-2020,IC06VID3,"Vinther, B. M., Clausen, H. B., Johnsen, S. J., Rasmussen, S. O., Andersen, K. K., Buchardt, S. L., Dahl-Jensen, D., Seierstad, I. K., Siggaard-Andersen, M.-L., Steffensen, J. P., Svensson, A., Olsen, J. and Heinemeier, J.: A synchronized dating of three Greenland ice cores throughout the Holocene, Journal of Geophysical Research, 111(D13), doi:10.1029/2005jd006921, 2006.",https://doi.org/10.25921/57j8-vs18
-37.6248,75.2504,natural_proxy,ice_proxy,ISO2k_IC16WE17_bwinter,ISO2k,https://doi.org/10.5194/essd-12-2261-2020,IC16WE17,"WeiSSbach, S., Wegner, A., Opel, T., Oerter, H., Vinther, B. M. and Kipfstuhl, S.: Spatial and temporal oxygen isotope variability in northern Greenland –  implications for a new climate record over the past millennium, Climate of the Past, 12(2), 171–188, doi:10.5194/cp-12-171-2016, 2016.",https://doi.org/10.25921/57j8-vs18
-36.5,78.8333,natural_proxy,ice_proxy,ISO2k_IC16WE20_bwinter,ISO2k,https://doi.org/10.5194/essd-12-2261-2020,IC16WE20,"WeiSSbach, S., Wegner, A., Opel, T., Oerter, H., Vinther, B. M. and Kipfstuhl, S.: Spatial and temporal oxygen isotope variability in northern Greenland –  implications for a new climate record over the past millennium, Climate of the Past, 12(2), 171–188, doi:10.5194/cp-12-171-2016, 2016.",https://doi.org/10.25921/57j8-vs18
-38.5,72.6,natural_proxy,ice_proxy,ISO2k_IC97GRGI_bwinter,ISO2k,https://doi.org/10.5194/essd-12-2261-2020,IC10VIGI,"Vinther, B. M., Jones, P. D., Briffa, K. R., Clausen, H. B., Andersen, K. K., Dahl-Jensen, D. and Johnsen, S. J.: Climatic signals in multiple highly resolved stable isotope records from Greenland, Quaternary Science Reviews, 29(3-4), 522–538, doi:10.1016/j.quascirev.2009.11.002, 2010.",https://doi.org/10.25921/57j8-vs18
-72.86666667,-46.98333333,natural_proxy,lake_sediment_proxy,GIUB_Plomo_Lake_bwinter,Neukom 2014,https://doi.org/10.1038/nclimate2174,Site name: Lago Plomo,Elbert et al. (2011),NA
37.7,-3.316666667,natural_proxy,lake_sediment_proxy,GIUB_Lake_Challa_bwinter,Neukom 2014,https://doi.org/10.1038/nclimate2174,Site name: Lake Challa Kenya,Wolff et al. (2011),NA
145.8666667,-42.26666667,natural_proxy,tree_proxy,GIUB_Buckleys_Chance_bwinter,Neukom 2014,https://doi.org/10.1038/nclimate2174,Site name: Buckleys Chance,Buckley et al. (1997),NA
-70.81666667,-32.48333333,natural_proxy,tree_proxy,GIUB_chil002_bwinter,Neukom 2014,https://doi.org/10.1038/nclimate2174,Site name: El Asiento,La Marche et al. (1979b),NA
119,-4,natural_proxy,speleothem_proxy,GIUB_Flores_d18O_bwinter,Neukom 2014,https://doi.org/10.1038/nclimate2174,Site name: Bali,Charles et al. (2003),NA
